size,stride,ns
4096,4,0.181322
4096,8,0.193985
4096,16,0.196356
4096,32,0.182806
4096,64,0.173095
4096,128,0.135507
4096,256,0.063768
4096,512,0.007105
4096,1024,-0.079933
4096,2048,0.430915
8192,4,0.188713
8192,8,0.194768
8192,16,0.193832
8192,32,0.189012
8192,64,0.193997
8192,128,0.157594
8192,256,0.129799
8192,512,0.208150
8192,1024,0.126735
8192,2048,-0.117344
8192,4096,0.437223
16384,4,0.197929
16384,8,0.187921
16384,16,0.180542
16384,32,0.190431
16384,64,0.190654
16384,128,0.159012
16384,256,0.181995
16384,512,0.261618
16384,1024,0.327427
16384,2048,0.360600
16384,4096,-0.079693
16384,8192,0.445690
32768,4,0.196368
32768,8,0.192432
32768,16,0.188297
32768,32,0.187834
32768,64,0.192251
32768,128,0.187440
32768,256,0.188882
32768,512,0.284363
32768,1024,0.381427
32768,2048,0.539902
32768,4096,0.812728
32768,8192,-0.092869
32768,16384,0.446575
65536,4,0.194517
65536,8,0.211186
65536,16,0.296218
65536,32,0.285938
65536,64,0.932923
65536,128,1.495504
65536,256,1.498149
65536,512,2.068625
65536,1024,3.534544
65536,2048,2.803232
65536,4096,4.179786
65536,8192,0.809834
65536,16384,-0.094732
65536,32768,0.449594
131072,4,0.201810
131072,8,0.207127
131072,16,0.305314
131072,32,0.297059
131072,64,0.905088
131072,128,1.528055
131072,256,1.530501
131072,512,2.065537
131072,1024,3.156798
131072,2048,3.935970
131072,4096,5.255571
131072,8192,4.140291
131072,16384,0.801423
131072,32768,-0.104656
131072,65536,0.442502
262144,4,0.205206
262144,8,0.217467
262144,16,0.289624
262144,32,0.307698
262144,64,0.940714
262144,128,1.520279
262144,256,1.526728
262144,512,2.142863
262144,1024,3.142618
262144,2048,3.873564
262144,4096,5.409832
262144,8192,5.213198
262144,16384,4.165279
262144,32768,0.796172
262144,65536,-0.083564
262144,131072,0.440855
524288,4,0.218276
524288,8,0.217957
524288,16,0.299038
524288,32,0.311053
524288,64,0.937118
524288,128,1.524364
524288,256,1.543090
524288,512,2.203044
524288,1024,3.181222
524288,2048,3.912092
524288,4096,5.318191
524288,8192,5.506092
524288,16384,5.287475
524288,32768,4.172298
524288,65536,0.846635
524288,131072,-0.096598
524288,262144,0.440100
1048576,4,0.195456
1048576,8,0.239358
1048576,16,0.320760
1048576,32,0.446382
1048576,64,1.169129
1048576,128,1.716368
1048576,256,1.783235
1048576,512,3.006455
1048576,1024,3.404830
1048576,2048,4.128346
1048576,4096,5.225674
1048576,8192,5.311155
1048576,16384,5.209338
1048576,32768,5.436151
1048576,65536,4.860549
1048576,131072,1.653686
1048576,262144,-0.097652
1048576,524288,0.444531
2097152,4,0.193148
2097152,8,0.231148
2097152,16,0.369048
2097152,32,0.956193
2097152,64,2.247737
2097152,128,3.605605
2097152,256,3.630381
2097152,512,4.230840
2097152,1024,4.331793
2097152,2048,4.754378
2097152,4096,5.666043
2097152,8192,5.682286
2097152,16384,6.997686
2097152,32768,8.476786
2097152,65536,9.579675
2097152,131072,5.300446
2097152,262144,1.635044
2097152,524288,2.066849
2097152,1048576,0.442967
4194304,4,0.206851
4194304,8,0.262710
4194304,16,0.362379
4194304,32,0.999742
4194304,64,2.372723
4194304,128,3.489952
4194304,256,3.673010
4194304,512,4.295874
4194304,1024,4.317731
4194304,2048,4.735269
4194304,4096,5.697367
4194304,8192,5.832913
4194304,16384,7.524226
4194304,32768,9.850317
4194304,65536,11.830342
4194304,131072,12.618583
4194304,262144,5.676240
4194304,524288,2.496810
4194304,1048576,3.447964
4194304,2097152,0.447774
8388608,4,0.230975
8388608,8,0.269207
8388608,16,0.369399
8388608,32,0.990737
8388608,64,2.328487
8388608,128,3.804074
8388608,256,3.702783
8388608,512,4.395104
8388608,1024,4.373033
8388608,2048,4.793513
8388608,4096,5.633160
8388608,8192,5.693991
8388608,16384,7.592302
8388608,32768,10.369144
8388608,65536,12.052874
8388608,131072,16.078114
8388608,262144,15.579729
8388608,524288,7.641599
8388608,1048576,5.199349
8388608,2097152,3.728626
8388608,4194304,0.487311
16777216,4,0.415647
16777216,8,0.657060
16777216,16,1.091964
16777216,32,2.423822
16777216,64,4.293152
16777216,128,7.939361
16777216,256,5.309547
16777216,512,5.834580
16777216,1024,4.762633
16777216,2048,36.384211
16777216,4096,42.435646
16777216,8192,42.760217
16777216,16384,60.077684
16777216,32768,95.066480
16777216,65536,107.398384
16777216,131072,114.037093
16777216,262144,119.774248
16777216,524288,124.738757
16777216,1048576,71.493064
16777216,2097152,41.306117
16777216,4194304,34.799569
16777216,8388608,0.425141
33554432,4,3.026492
33554432,8,5.844286
33554432,16,9.085906
33554432,32,23.520410
33554432,64,41.935609
33554432,128,77.353566
33554432,256,65.461651
33554432,512,47.691997
33554432,1024,38.748585
33554432,2048,38.859813
33554432,4096,47.572842
33554432,8192,47.586032
33554432,16384,65.759732
33554432,32768,89.153376
33554432,65536,116.253619
33554432,131072,122.023604
33554432,262144,125.178499
33554432,524288,136.791830
33554432,1048576,89.295390
33554432,2097152,71.467171
33554432,4194304,36.107391
33554432,8388608,27.019151
33554432,16777216,5.673016
67108864,4,1.687677
67108864,8,4.541289
67108864,16,10.430040
67108864,32,22.305318
67108864,64,46.034022
67108864,128,79.045263
67108864,256,86.600648
67108864,512,67.180128
67108864,1024,65.540209
67108864,2048,64.026640
67108864,4096,68.526765
67108864,8192,68.447801
67108864,16384,131.394599
67108864,32768,162.774094
67108864,65536,183.332112
67108864,131072,184.774505
67108864,262144,123.553698
67108864,524288,120.873532
67108864,1048576,95.407346
67108864,2097152,86.531094
67108864,4194304,68.828518
67108864,8388608,37.393756
67108864,16777216,29.599066
67108864,33554432,4.356971
